"","method","NA_Proportion","TPs","DECs","Sensitivity","Specificity","FDR","AUC","simulation","dataset","distribution","sampleSize","FPR","foldEffect","seed"
"132","edgeR-robust",0,413,413,0.368038740920097,0.997863818424566,0.05,0.908029107413598,"14","dcc","NB","5","0.1","1.5","  5930714"
"133","DESeq2",0.600925249573898,404,404,0.51931330472103,0.998577524893314,0.016260162601626,0.699000743309546,"15","dcc","NB","5","0.1","1.5"," 29528105"
"134","voom",0,404,404,0.336633663366337,0.995679179044018,0.105263157894737,0.886315083034092,"15","dcc","NB","5","0.1","1.5"," 29528105"
"135","edgeR-robust",0,404,404,0.358910891089109,0.99756953821226,0.0584415584415584,0.892666302141962,"15","dcc","NB","5","0.1","1.5"," 29528105"
"136","DESeq2",0.562545720555962,404,404,0.517786561264822,0.99870214146658,0.0150375939849624,0.724722949032799,"16","dcc","NB","5","0.1","1.5","137163161"
"137","voom",0,404,404,0.363861386138614,0.995942656207736,0.0925925925925926,0.90571898006679,"16","dcc","NB","5","0.1","1.5","137163161"
"138","edgeR-robust",0,404,404,0.383663366336634,0.995672166621585,0.0935672514619883,0.903275535154273,"16","dcc","NB","5","0.1","1.5","137163161"
"139","DESeq2",0.542740187816037,410,410,0.465116279069767,0.998781230956734,0.0163934426229508,0.724512423189955,"17","dcc","NB","5","0.1","1.5"," 65119093"
"140","voom",0,410,410,0.363414634146341,0.997328346246326,0.0628930817610063,0.909532265106248,"17","dcc","NB","5","0.1","1.5"," 65119093"
"141","edgeR-robust",0,410,410,0.351219512195122,0.998129842372429,0.0463576158940397,0.909461889836638,"17","dcc","NB","5","0.1","1.5"," 65119093"
"142","DESeq2",0.678970373967946,408,408,0.571428571428571,0.997319034852547,0.0252100840336134,0.668812430632631,"18","dcc","NB","5","0.1","1.5"," 60991469"
"143","voom",0,408,408,0.308823529411765,0.996765498652291,0.0869565217391304,0.886578074626075,"18","dcc","NB","5","0.1","1.5"," 60991469"
"144","edgeR-robust",0,408,408,0.303921568627451,0.996765498652291,0.0882352941176471,0.890747383859204,"18","dcc","NB","5","0.1","1.5"," 60991469"
"145","DESeq2",0.639672210171126,406,406,0.532110091743119,0.996084573218481,0.0413223140495868,0.683975934058847,"19","dcc","NB","5","0.1","1.5","159625080"
"146","voom",0,406,406,0.342364532019704,0.996794015495592,0.0794701986754967,0.901120844295228,"19","dcc","NB","5","0.1","1.5","159625080"
"147","edgeR-robust",0,406,406,0.310344827586207,0.997595511621694,0.0666666666666667,0.895225767903041,"19","dcc","NB","5","0.1","1.5","159625080"
"148","DESeq2",0.601259689922481,419,419,0.5,0.994978479196557,0.0526315789473684,0.71843789633807,"20","dcc","NB","5","0.1","1.5","125843231"
"149","voom",0,419,419,0.33890214797136,0.995416554327312,0.106918238993711,0.904914254239349,"20","dcc","NB","5","0.1","1.5","125843231"
"150","edgeR-robust",0,419,419,0.348448687350835,0.995955783229981,0.093167701863354,0.906237552853119,"20","dcc","NB","5","0.1","1.5","125843231"
"151","DESeq2",0.639865190178142,419,419,0.529166666666667,0.996019108280255,0.0378787878787879,0.707690267833466,"21","dcc","NB","5","0.1","1.5","  5621294"
"152","voom",0,419,419,0.346062052505967,0.997054886211513,0.0705128205128205,0.902324652628015,"21","dcc","NB","5","0.1","1.5","  5621294"
"153","edgeR-robust",0,419,419,0.315035799522673,0.998661311914324,0.0364963503649635,0.902494943976383,"21","dcc","NB","5","0.1","1.5","  5621294"
"154","DESeq2",0.600961538461538,406,406,0.479638009049774,0.997220291869354,0.0363636363636364,0.677230330340576,"22","dcc","NB","5","0.1","1.5","265970915"
"155","voom",0,406,406,0.317733990147783,0.998934469898775,0.0300751879699248,0.907074818059423,"22","dcc","NB","5","0.1","1.5","265970915"
"156","edgeR-robust",0,406,406,0.317733990147783,0.998401704848162,0.0444444444444444,0.902315362792004,"22","dcc","NB","5","0.1","1.5","265970915"
"157","DESeq2",0.600916325054256,414,414,0.493506493506494,0.996488764044944,0.0420168067226891,0.690107553598859,"23","dcc","NB","5","0.1","1.5","102864919"
"158","voom",0,414,414,0.326086956521739,0.997053308331101,0.0753424657534247,0.902398764900074,"23","dcc","NB","5","0.1","1.5","102864919"
"159","edgeR-robust",0,414,414,0.330917874396135,0.998392713635146,0.041958041958042,0.905701984261019,"23","dcc","NB","5","0.1","1.5","102864919"
"160","DESeq2",0.601112723754233,412,412,0.520833333333333,0.997870830376153,0.0234375,0.706185798949307,"24","dcc","NB","5","0.1","1.5","147441099"
"161","voom",0,412,412,0.361650485436893,0.998387963460505,0.0387096774193548,0.886559123657289,"24","dcc","NB","5","0.1","1.5","147441099"
"162","edgeR-robust",0,412,412,0.356796116504854,0.998656636217088,0.0328947368421053,0.885274776584257,"24","dcc","NB","5","0.1","1.5","147441099"
"163","DESeq2",0.56218304757305,408,408,0.475095785440613,0.997422680412371,0.03125,0.734857497780789,"25","dcc","NB","5","0.1","1.5","250013908"
"164","voom",0,408,408,0.375,0.996517546209483,0.0783132530120482,0.900225138273901,"25","dcc","NB","5","0.1","1.5","250013908"
